dataset,seed,rare_train_size,rare_class,method,status,sep,best_k,rare_f1,rare_recall,rare_precision,macro_f1,rare_fp_rate,n_rescued,n_false_rescue,rescue_ffr
immune_dc,42,0.05,ASDC,scANVI,ok,2.3866,,0.0,0.0,0.0,0.712,0.0,0,0,0.0
immune_dc,42,0.05,ASDC,kNN,ok,2.3866,3.0,0.7255,0.5692,1.0,0.8513,0.0,74,0,0.0
immune_dc,42,0.05,ASDC,CellTypist,ok,2.3866,,0.5946,0.4231,1.0,0.8158,0.0,55,0,0.0
immune_dc,42,0.05,ASDC,scBalance,ok,2.3866,,0.5792,0.4077,1.0,0.8132,0.0,53,0,0.0
immune_dc,42,0.05,ASDC,scRareRefine,ok,2.3866,,0.9486,0.9231,0.9756,0.8747,0.0005,123,3,0.0005
immune_dc,43,0.05,ASDC,scANVI,ok,2.0261,,0.0303,0.0154,1.0,0.7216,0.0,0,0,0.0
immune_dc,43,0.05,ASDC,kNN,ok,2.0261,3.0,0.7129,0.5538,1.0,0.8499,0.0,70,0,0.0
immune_dc,43,0.05,ASDC,CellTypist,ok,2.0261,,0.5057,0.3385,1.0,0.7997,0.0,42,0,0.0
immune_dc,43,0.05,ASDC,scBalance,ok,2.0261,,0.4971,0.3308,1.0,0.8072,0.0,42,0,0.0
immune_dc,43,0.05,ASDC,scRareRefine,ok,2.0261,,0.9262,0.8692,0.9912,0.8752,0.000167,112,1,0.000167
immune_dc,44,0.05,ASDC,scANVI,ok,1.8084,,0.0451,0.0231,1.0,0.7364,0.0,0,0,0.0
immune_dc,44,0.05,ASDC,kNN,ok,1.8084,5.0,0.5792,0.4077,1.0,0.832,0.0,50,0,0.0
immune_dc,44,0.05,ASDC,CellTypist,ok,1.8084,,0.5792,0.4077,1.0,0.8136,0.0,51,0,0.0
immune_dc,44,0.05,ASDC,scBalance,ok,1.8084,,0.5556,0.3846,1.0,0.8122,0.0,49,0,0.0
immune_dc,44,0.05,ASDC,scRareRefine,ok,1.8084,,0.9435,0.9,0.9915,0.8903,0.000167,115,1,0.000167
pancreas_baron,42,0.1,gamma,scANVI,ok,1.4036,,0.8056,0.6744,1.0,0.7014,0.0,0,0,0.0
pancreas_baron,42,0.1,gamma,kNN,ok,1.4036,3.0,0.3619,0.2209,1.0,0.5971,0.0,0,0,0.0
pancreas_baron,42,0.1,gamma,CellTypist,ok,1.4036,,0.4505,0.2907,1.0,0.6856,0.0,5,0,0.0
pancreas_baron,42,0.1,gamma,scBalance,ok,1.4036,,0.5738,0.407,0.9722,0.7101,0.000611,9,1,0.000611
pancreas_baron,42,0.1,gamma,scRareRefine,ok,1.4036,,0.8366,0.7442,0.9552,0.7039,0.001832,9,3,0.001832
pancreas_baron,43,0.1,gamma,scANVI,ok,1.5543,,0.7808,0.6628,0.95,0.6043,0.001832,0,0,0.0
pancreas_baron,43,0.1,gamma,kNN,ok,1.5543,5.0,0.7015,0.5465,0.9792,0.6431,0.000611,6,0,0.0
pancreas_baron,43,0.1,gamma,CellTypist,ok,1.5543,,0.7259,0.5698,1.0,0.7107,0.0,7,0,0.0
pancreas_baron,43,0.1,gamma,scBalance,ok,1.5543,,0.8456,0.7326,1.0,0.6839,0.0,15,0,0.0
pancreas_baron,43,0.1,gamma,scRareRefine,ok,1.5543,,0.8242,0.7907,0.8608,0.6084,0.006716,19,8,0.004884
pancreas_baron,44,0.1,gamma,scANVI,ok,1.1241,,0.8875,0.8256,0.9595,0.71,0.001832,0,0,0.0
pancreas_baron,44,0.1,gamma,kNN,ok,1.1241,3.0,0.7862,0.6628,0.9661,0.6293,0.001221,0,0,0.0
pancreas_baron,44,0.1,gamma,CellTypist,ok,1.1241,,0.7068,0.5465,1.0,0.7083,0.0,1,0,0.0
pancreas_baron,44,0.1,gamma,scBalance,ok,1.1241,,0.7111,0.5581,0.9796,0.8033,0.000611,2,0,0.0
pancreas_baron,44,0.1,gamma,scRareRefine,ok,1.1241,,0.8875,0.8256,0.9595,0.71,0.001832,0,0,0.0
tabula_lung_endo,42,0.1,endothelial cell of lymphatic vessel,scANVI,ok,1.6589,,0.9771,0.9846,0.9697,0.8224,0.001166,0,0,0.0
tabula_lung_endo,42,0.1,endothelial cell of lymphatic vessel,kNN,ok,1.6589,3.0,0.96,0.9231,1.0,0.807,0.0,0,0,0.0
tabula_lung_endo,42,0.1,endothelial cell of lymphatic vessel,CellTypist,ok,1.6589,,0.789,0.6615,0.9773,0.7727,0.000583,0,0,0.0
tabula_lung_endo,42,0.1,endothelial cell of lymphatic vessel,scBalance,ok,1.6589,,0.9268,0.8769,0.9828,0.8093,0.000583,0,0,0.0
tabula_lung_endo,42,0.1,endothelial cell of lymphatic vessel,scRareRefine,ok,1.6589,,0.9774,1.0,0.9559,0.8226,0.001748,2,1,0.000583
tabula_lung_endo,43,0.1,endothelial cell of lymphatic vessel,scANVI,ok,1.7338,,0.9618,0.9692,0.9545,0.8299,0.001748,0,0,0.0
tabula_lung_endo,43,0.1,endothelial cell of lymphatic vessel,kNN,ok,1.7338,3.0,0.944,0.9077,0.9833,0.8064,0.000583,0,0,0.0
tabula_lung_endo,43,0.1,endothelial cell of lymphatic vessel,CellTypist,ok,1.7338,,0.8108,0.6923,0.9783,0.7787,0.000583,2,1,0.000583
tabula_lung_endo,43,0.1,endothelial cell of lymphatic vessel,scBalance,ok,1.7338,,0.8983,0.8154,1.0,0.7963,0.0,0,0,0.0
tabula_lung_endo,43,0.1,endothelial cell of lymphatic vessel,scRareRefine,ok,1.7338,,0.9774,1.0,0.9559,0.8343,0.001748,2,0,0.0
tabula_lung_endo,44,0.1,endothelial cell of lymphatic vessel,scANVI,ok,1.6894,,0.9692,0.9692,0.9692,0.8228,0.001166,0,0,0.0
tabula_lung_endo,44,0.1,endothelial cell of lymphatic vessel,kNN,ok,1.6894,3.0,0.9516,0.9077,1.0,0.8027,0.0,0,0,0.0
tabula_lung_endo,44,0.1,endothelial cell of lymphatic vessel,CellTypist,ok,1.6894,,0.7255,0.5692,1.0,0.7515,0.0,0,0,0.0
tabula_lung_endo,44,0.1,endothelial cell of lymphatic vessel,scBalance,ok,1.6894,,0.928,0.8923,0.9667,0.7858,0.001166,0,0,0.0
tabula_lung_endo,44,0.1,endothelial cell of lymphatic vessel,scRareRefine,ok,1.6894,,0.9848,1.0,0.9701,0.8272,0.001166,2,0,0.0
tabula_small_intestine,42,20.0,intestinal tuft cell,scANVI,ok,2.4743,,0.9774,1.0,0.9559,0.686,0.000477,0,0,0.0
tabula_small_intestine,42,20.0,intestinal tuft cell,kNN,ok,2.4743,15.0,0.9774,1.0,0.9559,0.6095,0.000477,0,0,0.0
tabula_small_intestine,42,20.0,intestinal tuft cell,CellTypist,ok,2.4743,,0.9848,1.0,0.9701,0.685,0.000318,0,0,0.0
tabula_small_intestine,42,20.0,intestinal tuft cell,scBalance,ok,2.4743,,0.9697,0.9846,0.9552,0.5871,0.000477,0,0,0.0
tabula_small_intestine,42,20.0,intestinal tuft cell,scRareRefine,ok,2.4743,,0.9701,1.0,0.942,0.6857,0.000636,1,1,0.000159
tabula_small_intestine,43,20.0,intestinal tuft cell,scANVI,ok,3.0078,,0.9774,1.0,0.9559,0.6418,0.000477,0,0,0.0
tabula_small_intestine,43,20.0,intestinal tuft cell,kNN,ok,3.0078,3.0,0.9697,0.9846,0.9552,0.6209,0.000477,0,0,0.0
tabula_small_intestine,43,20.0,intestinal tuft cell,CellTypist,ok,3.0078,,0.9848,1.0,0.9701,0.6844,0.000318,0,0,0.0
tabula_small_intestine,43,20.0,intestinal tuft cell,scBalance,ok,3.0078,,0.9612,0.9538,0.9688,0.6299,0.000318,0,0,0.0
tabula_small_intestine,43,20.0,intestinal tuft cell,scRareRefine,ok,3.0078,,0.9774,1.0,0.9559,0.6418,0.000477,0,0,0.0
tabula_small_intestine,44,20.0,intestinal tuft cell,scANVI,ok,2.3546,,0.9848,1.0,0.9701,0.6538,0.000318,0,0,0.0
tabula_small_intestine,44,20.0,intestinal tuft cell,kNN,ok,2.3546,3.0,0.9692,0.9692,0.9692,0.6988,0.000318,0,0,0.0
tabula_small_intestine,44,20.0,intestinal tuft cell,CellTypist,ok,2.3546,,0.9771,0.9846,0.9697,0.6829,0.000318,0,0,0.0
tabula_small_intestine,44,20.0,intestinal tuft cell,scBalance,ok,2.3546,,0.9697,0.9846,0.9552,0.5949,0.000477,1,1,0.000159
tabula_small_intestine,44,20.0,intestinal tuft cell,scRareRefine,ok,2.3546,,0.9848,1.0,0.9701,0.6538,0.000318,0,0,0.0
tabula_lung_stroma,42,20.0,bronchial smooth muscle cell,scANVI,ok,0.8025,,0.3906,0.7143,0.2688,0.4884,0.334975,0,0,0.0
tabula_lung_stroma,42,20.0,bronchial smooth muscle cell,kNN,ok,0.8025,3.0,0.4167,0.4286,0.4054,0.6095,0.108374,0,0,0.0
tabula_lung_stroma,42,20.0,bronchial smooth muscle cell,CellTypist,ok,0.8025,,0.2388,0.2286,0.25,0.4822,0.118227,0,0,0.0
tabula_lung_stroma,42,20.0,bronchial smooth muscle cell,scBalance,ok,0.8025,,0.2963,0.3429,0.2609,0.5745,0.167488,0,0,0.0
